data_code,year,month,day,hour,minute,second,group_number,group_spot_number,projected_umbra,projected_whole_spot,corrected_projected_umbra,corrected_projected_whole_spot,heliographic_latitude,heliographic_longitude,lcm,position_angle,center_distance
s,2001,01,01,09,39,09,9283,1,7,26,6,22,-7.33,265.11,53.12,263.15,0.8013
s,2001,01,01,09,39,09,9283,2,0,3,0,2,-9.57,261.43,49.44,260.04,0.7630
s,2001,01,01,09,39,09,9283,3,0,41,0,31,-12.31,260.58,48.59,256.34,0.7564
s,2001,01,01,09,39,09,9283,4,2,31,1,23,-13.16,260.63,48.64,255.23,0.7581
s,2001,01,01,09,39,09,9283,5,0,1,0,1,-11.54,259.85,47.86,257.25,0.7472
s,2001,01,01,09,39,09,9283,6,5,-3,4,-3,-12.65,260.03,48.04,255.81,0.7508
s,2001,01,01,09,39,09,9283,7,1,-4,1,-4,-13.76,260.35,48.36,254.40,0.7561
s,2001,01,01,09,39,09,9283,8,0,2,0,1,-11.75,259.39,47.40,256.90,0.7423
s,2001,01,01,09,39,09,9283,9,0,1,0,1,-11.52,259.26,47.27,257.19,0.7404
s,2001,01,01,09,39,09,9283,10,0,4,0,3,-13.08,259.38,47.38,255.12,0.7440
s,2001,01,01,09,39,09,9283,11,16,70,11,51,-12.79,258.28,46.29,255.31,0.7311
s,2001,01,01,09,39,09,9289,1,3,1619,1,807,-4.47,206.97,-4.98,105.68,0.0902
s,2001,01,01,09,39,09,9289,2,179,-1,89,-1,-5.68,206.27,-5.73,114.64,0.1098
s,2001,01,01,09,39,09,9289,3,66,-1,33,-1,-8.12,205.12,-6.88,126.59,0.1484
s,2001,01,01,09,39,09,9289,4,-3,-1,-3,-1,-7.36,205.00,-7.00,121.75,0.1428
s,2001,01,01,09,39,09,9289,5,-3,-1,-3,-1,-7.51,204.83,-7.12,122.26,0.1459
s,2001,01,01,09,39,09,9289,6,2,-1,1,-1,-7.15,204.49,-7.48,118.91,0.1483
s,2001,01,01,09,39,09,9289,7,0,1,0,1,-4.44,204.19,-7.79,100.12,0.1378
s,2001,01,01,09,39,09,9289,8,0,1,0,0,-5.97,203.60,-8.40,109.27,0.1547
s,2001,01,01,09,39,09,9289,9,1,36,1,18,-5.18,203.54,-8.41,104.26,0.1511
s,2001,01,01,09,39,09,9289,10,1,10,1,5,-10.03,203.37,-8.63,129.40,0.1921
s,2001,01,01,09,39,09,9289,11,1,-9,0,-9,-5.75,203.30,-8.70,107.36,0.1585
s,2001,01,01,09,39,09,9289,12,0,1,0,0,-6.23,203.25,-8.70,110.21,0.1610
s,2001,01,01,09,39,09,9289,13,2,11,1,5,-8.00,203.11,-8.87,119.45,0.1762
s,2001,01,01,09,39,09,9289,14,0,0,0,0,-6.34,203.05,-8.91,110.44,0.1650
s,2001,01,01,09,39,09,9289,15,1,-13,1,-13,-8.05,202.76,-9.24,118.75,0.1822
s,2001,01,01,09,39,09,9289,16,0,4,0,2,-5.21,202.43,-9.54,102.88,0.1702
s,2001,01,01,09,39,09,9289,17,0,1,0,1,-6.62,202.14,-9.85,110.16,0.1820
s,2001,01,01,09,39,09,9289,18,0,1,0,0,-5.64,201.96,-10.04,104.66,0.1802
s,2001,01,01,09,39,09,9289,19,2,11,1,5,-6.77,201.60,-10.40,109.95,0.1917
s,2001,01,01,09,39,09,9289,20,0,3,0,1,-7.62,201.33,-10.65,113.57,0.2008
s,2001,01,01,09,39,09,9289,21,0,6,0,3,-6.48,201.18,-10.79,107.90,0.1965
s,2001,01,01,09,39,09,9289,22,0,7,0,4,-6.80,201.15,-10.83,109.39,0.1988
s,2001,01,01,09,39,09,9289,23,6,29,3,15,-7.44,200.88,-11.12,111.87,0.2070
s,2001,01,01,09,39,09,9289,24,2,119,1,61,-7.27,200.24,-11.71,110.16,0.2155
s,2001,01,01,09,39,09,9289,25,0,1,0,0,-5.74,200.12,-11.83,103.06,0.2104
s,2001,01,01,09,39,09,9289,26,1,-24,1,-24,-7.16,199.67,-12.33,108.83,0.2249
s,2001,01,01,09,39,09,9289,27,0,2,0,1,-5.93,199.69,-12.26,103.52,0.2183
s,2001,01,01,09,39,09,9289,28,2,-24,1,-24,-6.75,199.60,-12.40,106.97,0.2241
s,2001,01,01,09,39,09,9289,29,0,2,0,1,-9.01,199.02,-12.95,115.27,0.2459
s,2001,01,01,09,39,09,9289,30,7,542,3,278,-7.53,198.97,-13.03,109.41,0.2380
s,2001,01,01,09,39,09,9289,31,4,18,2,9,-9.33,198.75,-13.25,115.96,0.2527
s,2001,01,01,09,39,09,9289,32,30,-30,15,-30,-7.44,198.49,-13.51,108.45,0.2454
s,2001,01,01,09,39,09,9289,33,0,1,0,1,-8.92,198.09,-13.86,113.55,0.2593
s,2001,01,01,09,39,09,9289,34,-32,-30,-32,-30,-7.25,198.14,-13.86,107.32,0.2500
s,2001,01,01,09,39,09,9289,35,-32,-30,-32,-30,-6.68,198.08,-13.92,105.05,0.2486
s,2001,01,01,09,39,09,9289,36,-32,-30,-32,-30,-7.00,197.96,-14.04,106.16,0.2518
s,2001,01,01,09,39,09,9289,37,1,-30,1,-30,-6.03,197.95,-14.05,102.35,0.2483
s,2001,01,01,09,39,09,9289,38,0,3,0,1,-8.80,197.86,-14.09,112.79,0.2622
s,2001,01,01,09,39,09,9289,39,0,2,0,1,-9.83,197.63,-14.34,116.00,0.2728
s,2001,01,01,09,39,09,9289,40,1,-30,1,-30,-6.55,197.68,-14.27,104.19,0.2538
s,2001,01,01,09,39,09,9289,41,0,3,0,1,-9.60,197.19,-14.76,114.62,0.2776
s,2001,01,01,09,39,09,9289,42,5,-30,3,-30,-6.78,197.17,-14.82,104.59,0.2637
s,2001,01,01,09,39,09,9289,43,0,1,0,0,-7.91,197.10,-14.85,108.66,0.2692
s,2001,01,01,09,39,09,9289,44,7,-30,4,-30,-6.29,197.03,-14.97,102.66,0.2644
s,2001,01,01,09,39,09,9289,45,6,-30,3,-30,-6.79,196.37,-15.63,103.98,0.2769
s,2001,01,01,09,39,09,9289,46,3,11,2,6,-7.81,196.30,-15.70,107.46,0.2824
s,2001,01,01,09,39,09,9289,47,4,-30,2,-30,-6.74,195.90,-16.10,103.43,0.2844
s,2001,01,01,09,39,09,9289,48,1,-30,0,-30,-6.58,195.80,-16.15,102.85,0.2847
s,2001,01,01,09,39,09,9289,49,4,-30,2,-30,-6.99,195.67,-16.33,104.13,0.2891
s,2001,01,01,09,39,09,9289,50,0,4,0,2,-9.42,193.90,-18.10,110.23,0.3281
s,2001,01,01,09,39,09,9289,51,0,0,0,0,-8.08,193.71,-18.24,106.16,0.3240
s,2001,01,01,09,39,09,9289,52,0,3,0,2,-7.96,193.11,-18.84,105.33,0.3332
s,2001,01,01,09,39,09,9290,1,2,46,1,30,28.17,238.77,26.77,322.30,0.6518
s,2001,01,01,09,39,09,9290,2,2,-1,1,-1,28.10,238.55,26.55,322.45,0.6492
s,2001,01,01,09,39,09,9290,3,2,-1,1,-1,28.19,238.33,26.34,322.76,0.6484
s,2001,01,01,09,39,09,9290,4,1,-1,0,-1,28.04,237.95,25.95,322.98,0.6439
s,2001,01,01,09,39,09,9290,5,0,3,0,2,31.16,233.70,21.67,330.55,0.6449
s,2001,01,01,09,39,09,9290,6,5,27,3,17,31.40,233.05,21.05,331.43,0.6435
s,2001,01,01,09,39,09,9291,1,29,286,14,144,-11.83,214.19,2.19,193.81,0.1572
